Title,Type,Date(Y/M/D),Speaker,Web Site
Beijing-Zurich Moduli Workshop,Conference,2019-Sep-09,,http://conference.bicmr.pku.edu.cn/meeting/index?id=75
Geometry of Arithmetic Varieties,Conference,2019-Sep-02,,https://indico.math.cnrs.fr/event/4568/
PKU-KUL Joint Algebraic Geometry Workshop,Conference,2019-Sep-02,,http://conference.bicmr.pku.edu.cn/meeting/index?id=80
Conference on Fukaya Category and Homological Mirror Symmetry,Conference,2019-Aug-15,,http://www.geomphys.org/2019-august/index.htm
[Distinguished Lecture]&quot;Simplification&quot; in Linear and Nonlinear PDE,Colloquium,2019-Aug-23,Professor Carlos Kenig (University of Chicago),/content/show/18-2227.html
 Seismic tomography  frozen Gaussian approximation and deep learning,Applied & Computational Math,2019-Aug-08,Xu Yang (University of California, Santa Barbara),/content/show/40-2230.html
Analysis and Application of Optimal Transport For Challenging Seismic Inverse Problems,Applied & Computational Math,2019-Aug-08,Yunan Yang (New York University),/content/show/40-2229.html
Advanced Topics in Algebraic Geometry ,Mini-Course,2019-Aug-19,Zhiwei Yun (MIT),http://bicmr.pku.edu.cn/content/show/70-2222.html
Seminar of Geometric Analysis and Mathematical General Relativity,Geometric Analysis,2019-Aug-03,,/content/show/43-2228.html
Asymptotic Behavior of the Spinor Field and the Application to Nonlinear Dirac Models,PDE/Analysis,2019-Aug-05,Jiongyue Li (Tsinghua University),/content/show/46-2226.html
